code_bytes,code_files,language,languages,marker_hits,py_files,reason,repo,repo_url,size_kb,stars,violations,vuln_count_bare_except,vuln_count_debug,vuln_count_insecure_hash,vuln_count_no_exec_shell,vuln_count_no_hardcoded,vuln_count_no_network,vuln_count_sql
106444,41,,"{""Rust"": 41}",CLAUDE.md,0,CLAUDE.md,KoalaLoveTree/poe-item-analyzer-claude,https://github.com/KoalaLoveTree/poe-item-analyzer-claude,0,0,2,0,0,0,2,0,0,0
29348,15,,"{""JavaScript"": 14, ""SQL"": 1}",CLAUDE.md,0,CLAUDE.md,shubhamdevs/luma-clone,https://github.com/shubhamdevs/luma-clone,0,0,0,0,0,0,0,0,0,0
161455,45,,"{""TypeScript"": 45}",CLAUDE.md,0,CLAUDE.md,jlargs64/largolabs-blog,https://github.com/jlargs64/largolabs-blog,0,0,0,0,0,0,0,0,0,0
134963,27,,"{""TypeScript"": 25, ""JavaScript"": 2}",CLAUDE.md,0,CLAUDE.md,franciscoclavero/Email,https://github.com/franciscoclavero/Email,0,0,20,7,0,0,0,13,0,0
85186,6,,"{""JavaScript"": 4, ""C#"": 1, ""SQL"": 1}",CLAUDE.md,0,CLAUDE.md,ysj-gif/trally,https://github.com/ysj-gif/trally,0,0,5,0,0,0,0,0,0,5
42135,42,,"{""C#"": 42}",CLAUDE.md,0,CLAUDE.md,qStivi/repair-game,https://github.com/qStivi/repair-game,0,0,0,0,0,0,0,0,0,0
14247,15,,"{""TypeScript"": 15}",CLAUDE.md,0,CLAUDE.md,delorenj/pjangler,https://github.com/delorenj/pjangler,0,0,1,0,1,0,0,0,0,0
173876,107,,"{""TypeScript"": 107}",CLAUDE.md,0,CLAUDE.md,gyfchong/luman-ui,https://github.com/gyfchong/luman-ui,0,0,1,0,0,0,0,0,1,0
257038,52,,"{""TypeScript"": 47, ""Python"": 5}",CLAUDE.md,5,CLAUDE.md,wch/anthropic_dashboard,https://github.com/wch/anthropic_dashboard,0,0,21,14,0,0,0,0,6,1
169654,47,,"{""TypeScript"": 47}",CLAUDE.md,0,CLAUDE.md,WattersIV/comment-generator,https://github.com/WattersIV/comment-generator,0,0,3,0,0,0,0,0,3,0
22778,15,,"{""TypeScript"": 14, ""JavaScript"": 1}",CLAUDE.md,0,CLAUDE.md,jmarkIT/wrong-opinions-frontend,https://github.com/jmarkIT/wrong-opinions-frontend,0,0,5,0,0,0,0,0,1,4
14457,10,,"{""TypeScript"": 10}",CLAUDE.md;AGENTS.md,0,CLAUDE.md,sawa-zen/xrift-world-google-3d-tiles,https://github.com/sawa-zen/xrift-world-google-3d-tiles,0,0,2,0,0,0,0,0,2,0
353946,38,,"{""Python"": 38}",CLAUDE.md;AGENTS.md,38,CLAUDE.md,krendlV/microagent,https://github.com/krendlV/microagent,0,0,7,4,0,0,3,0,0,0
682597,53,,"{""TypeScript"": 51, ""JavaScript"": 2}",CLAUDE.md,0,CLAUDE.md,kjunine/portmanteauly,https://github.com/kjunine/portmanteauly,0,0,0,0,0,0,0,0,0,0
14779,12,,"{""Python"": 12}",CLAUDE.md,12,CLAUDE.md,OnerInce/telegram-crypto_bot,https://github.com/OnerInce/telegram-crypto_bot,0,0,5,0,0,0,0,1,4,0
113660,90,,"{""TypeScript"": 88, ""JavaScript"": 1, ""SQL"": 1}",CLAUDE.md;AGENTS.md,0,CLAUDE.md,constROD/template-hono-prisma-kysely,https://github.com/constROD/template-hono-prisma-kysely,0,0,6,0,0,0,0,5,0,1
2187283,253,,"{""Python"": 173, ""JavaScript"": 78, ""Shell"": 2}",CLAUDE.md;AGENTS.md,173,CLAUDE.md,rasikakulasinghe/ndas,https://github.com/rasikakulasinghe/ndas,0,0,198,16,0,0,5,135,10,32
517655,83,,"{""Rust"": 69, ""SQL"": 11, ""Shell"": 3}",CLAUDE.md;AGENTS.md,0,CLAUDE.md,yeheng/chatroom_rust,https://github.com/yeheng/chatroom_rust,0,0,7,0,0,0,0,7,0,0
326374,82,,"{""Swift"": 82}",CLAUDE.md;AGENTS.md,0,CLAUDE.md,LL1yt/snn_ef,https://github.com/LL1yt/snn_ef,0,0,1,0,0,0,0,0,0,1
2559656,521,,"{""PHP"": 459, ""TypeScript"": 55, ""JavaScript"": 7}",CLAUDE.md,0,CLAUDE.md,lasko44/geosource,https://github.com/lasko44/geosource,0,0,21,4,0,7,5,0,5,0
221498,33,,"{""JavaScript"": 30, ""Shell"": 3}",CLAUDE.md,0,CLAUDE.md,Moduly-ai/smartbite-frontend,https://github.com/Moduly-ai/smartbite-frontend,0,0,4,0,0,0,0,1,1,2
126688,113,,"{""TypeScript"": 106, ""Shell"": 6, ""SQL"": 1}",CLAUDE.md,0,CLAUDE.md,mhylle/fullstack-template,https://github.com/mhylle/fullstack-template,0,0,23,0,0,0,0,19,4,0
18929,11,,"{""TypeScript"": 10, ""JavaScript"": 1}",CLAUDE.md,0,CLAUDE.md,danielangelo1/smart-training-api,https://github.com/danielangelo1/smart-training-api,0,0,0,0,0,0,0,0,0,0
782205,138,,"{""TypeScript"": 138}",CLAUDE.md,0,CLAUDE.md,TheAxiomFoundation/axiom-foundation.org,https://github.com/TheAxiomFoundation/axiom-foundation.org,0,0,8,0,0,0,6,0,2,0
268005,34,,"{""Python"": 33, ""Shell"": 1}",CLAUDE.md;AGENTS.md,33,CLAUDE.md,iomgaa-ycz/Swarm-Evo,https://github.com/iomgaa-ycz/Swarm-Evo,0,0,79,8,0,0,4,0,66,1
96953,13,,"{""Shell"": 9, ""JavaScript"": 2, ""Python"": 2}",CLAUDE.md,2,CLAUDE.md,abretonc7s/metamask-mobile-automation,https://github.com/abretonc7s/metamask-mobile-automation,0,0,18,2,1,0,0,1,13,1
15481,9,,"{""TypeScript"": 9}",CLAUDE.md,0,CLAUDE.md,mid417/xrift-world-moon-surface,https://github.com/mid417/xrift-world-moon-surface,0,0,0,0,0,0,0,0,0,0
126688,113,,"{""TypeScript"": 106, ""Shell"": 6, ""SQL"": 1}",CLAUDE.md,0,CLAUDE.md,mhylle/synthetic_data_generator,https://github.com/mhylle/synthetic_data_generator,0,0,23,0,0,0,0,19,4,0
